SAL_CODE_2021,SAL_NAME_2021,STATE_CODE_2021
10772,Camden South,1
10773,Camellia,1
10774,Cameron Park,1
10775,Camerons Creek,1
10776,Camira (NSW),1
10777,Cammeray,1
10778,Camp Creek (NSW),1
10779,Campbelltown (NSW),1
10780,Camperdown (NSW),1
10781,Campsie,1
10782,Campvale,1
10783,Cams Wharf,1
10784,Canada Bay,1
10785,Canadian Lead,1
10786,Canbelego,1
10787,Candelo,1
10788,Cangai,1
10789,Caniaba,1
10790,Canley Heights,1
10791,Canley Vale,1
10792,Canobolas,1
10793,Canoelands,1
10794,Canonba,1
10795,Canowindra,1
10796,Canterbury (NSW),1
10797,Canton Beach,1
10798,Canyonleigh,1
10799,Caparra,1
10800,Capeen Creek,1
10801,Capertee,1
10802,Capoompeta,1
10803,Captains Flat,1
10804,Carabost,1
10805,Caragabal,1
10806,Carcalgong,1
10807,Carcoar,1
10808,Cardiff (NSW),1
10809,Cardiff Heights,1
10810,Cardiff South,1
10811,Carey Bay,1
10812,Cargo,1
10813,Carinda,1
10814,Caringbah,1
10815,Caringbah South,1
10816,Carlaminda,1
10817,Carlingford,1
10818,Carlton (NSW),1
10819,Carnes Hill,1
10820,Carnham,1
10821,Carool,1
10822,Caroona,1
10823,Carrabolla,1
10824,Carrai,1
10825,Carramar (NSW),1
10826,Carrathool,1
10827,Carrick (NSW),1
10828,Carrington (Mid-Coast - NSW),1
10829,Carrington (Newcastle - NSW),1
10830,Carrington Falls,1
10831,Carroll,1
10832,Carrowbrook,1
10833,Carrs Creek,1
10834,Carrs Island,1
10835,Carrs Peninsula,1
10836,Carss Park,1
10837,Cartwright,1
10838,Cartwrights Hill,1
10839,Carwell,1
10840,Carwoola,1
10841,Cascade (NSW),1
10842,Casino,1
10843,Cassilis (NSW),1
10844,Castle Cove,1
10845,Castle Doyle,1
10846,Castle Hill (NSW),1
10847,Castle Rock,1
10848,Castlecrag,1
10849,Castlereagh,1
10850,Casuarina (NSW),1
10851,Casula,1
10852,Catalina,1
10853,Cataract,1
10854,Cathcart (NSW),1
10855,Catherine Field,1
10856,Catherine Hill Bay,1
10857,Cathundral,1
10858,Cattai,1
10859,Cattle Creek (NSW),1
10860,Cavan (NSW),1
10861,Caves Beach,1
10862,Cawdor (NSW),1
10863,Cawongla,1
10864,Cecil Hills,1
10865,Cecil Park,1
10866,Cedar Brush Creek,1
10867,Cedar Creek (Cessnock - NSW),1
10868,Cedar Creek (Tweed - NSW),1
10869,Cedar Party,1
10870,Cedar Point,1
10871,Cells River,1
10872,Centennial Park (NSW),1
10873,Central Colo,1
10874,Central Macdonald,1
10875,Central Mangrove,1
10876,Central Tilba,1
10877,Cessnock,1
10878,Chaelundi,1
10879,Chain Valley Bay,1
10880,Chakola,1
10881,Chambigne,1
10882,Charbon,1
10883,Charles Sturt University,1
10884,Charlestown (NSW),1
10885,Charleys Forest,1
10886,Charlotte Bay,1
10887,Charlton (NSW),1
10888,Charmhaven,1
10889,Chatham Valley,1
10890,Chatsbury,1
10891,Chatswood,1
10892,Chatswood West,1
10893,Chatsworth (NSW),1
10894,Cheero Point,1
10895,Cheltenham (NSW),1
10896,Cherry Tree Hill,1
10897,Cherrybrook,1
10898,Chester Hill,1
10899,Chichester (NSW),1
10900,Chifley (NSW),1
10901,Chilcotts Creek,1
10902,Chilcotts Grass,1
10903,Chillingham,1
10904,Chinderah,1
10905,Chinnock,1
10906,Chippendale,1
10907,Chipping Norton,1
10908,Chisholm (NSW),1
10909,Chiswick,1
10910,Chittaway Bay,1
10911,Chittaway Point,1
10912,Chowan Creek,1
10913,Chullora,1
10914,Church Point,1
10915,Clandulla,1
10916,Clare (NSW),1
10917,Claremont Meadows,1
10918,Clarence,1
10919,Clarence Town,1
10920,Clarendon (NSW),1
10921,Clarenza,1
10922,Clareville,1
10923,Claymore,1
10924,Clear Creek,1
10925,Clear Range,1
10926,Clearfield,1
10927,Clemton Park,1
10928,Clergate,1
10929,Cleveland (NSW),1
10930,Clifden,1
10931,Cliftleigh,1
10932,Clifton (NSW),1
10933,Clifton Grove,1
10934,Clontarf (NSW),1
10935,Clothiers Creek,1
10936,Clouds Creek,1
10937,Clovelly,1
10938,Clunes (NSW),1
10939,Clybucca,1
10940,Clyde (NSW),1
10941,Clydesdale (NSW),1
10942,Coal Point,1
10943,Coalcliff,1
10944,Coaldale,1
10945,Coasters Retreat,1
10946,Cobaki,1
10947,Cobaki Lakes,1
10948,Cobar,1
10949,Cobar Park,1
10950,Cobargo,1
10951,Cobark,1
10952,Cobbadah,1
10953,Cobbitty,1
10954,Cobbora,1
10955,Cobramunga,1
10956,Cockwhy,1
10957,Codrington (NSW),1
10958,Coffee Camp,1
10959,Coffs Harbour,1
10960,Coggan,1
10961,Cogra Bay,1
10962,Coila,1
10963,Coldstream (NSW),1
10964,Coleambally,1
10965,Colebee,1
10966,Coledale,1
10967,Colinroobie,1
10968,Colinton (NSW),1
10969,Collarenebri,1
10970,Collaroy (NSW),1
10971,Collaroy Plateau,1
10972,Collector,1
10973,Collendina,1
10974,Collerina,1
10975,Collie (NSW),1
10976,Collingullie,1
10977,Collingwood (NSW),1
10978,Collins Creek,1
10979,Collombatti,1
10980,Collum Collum,1
10981,Colly Blue,1
10982,Colo (Bathurst Regional - NSW),1
10983,Colo (Hawkesbury - NSW),1
10984,Colo Heights,1
10985,Colo Vale,1
10986,Colongra,1
10987,Colyton,1
10988,Comara,1
10989,Combaning,1
10990,Combara,1
10991,Comberton,1
10992,Comboyne,1
10993,Come By Chance,1
10994,Comerong Island,1
10995,Commissioners Creek,1
10996,Como (NSW),1
10997,Comobella,1
10998,Conargo,1
10999,Concord,1
11000,Concord West,1
11001,Condell Park,1
11002,Condobolin,1
11003,Condong,1
11004,Coneac,1
11005,Congarinni,1
11006,Congarinni North,1
11007,Congewai,1
11008,Congo,1
11009,Conimbia,1
11010,Coniston,1
11011,Conjola,1
11012,Conjola Park,1
11013,Connells Point,1
11014,Constitution Hill,1
11015,Coogee (NSW),1
11016,Cookamidgera,1
11017,Cookardinia,1
11018,Cooks Gap,1
11019,Cooks Hill,1
11020,Cooks Myalls,1
11021,Coolabah,1
11022,Coolac,1
11023,Coolagolite,1
11024,Coolah,1
11025,Coolamon,1
11026,Coolangatta (NSW),1
11027,Coolangubra,1
11028,Coolatai,1
11029,Cooleman,1
11030,Cooleys Creek,1
11031,Coolgardie (NSW),1
11032,Coolongolook,1
